Keyword,Volume,KD,Intent,Cluster,PrimaryURL,SecondaryURLs,Priority,SourceBatch,Status,Notes
dianabol buy,260,8,Transactional,dianabol,/shop?q=dianabol,/product/dianabol25-proper-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P98, us unranked); /product-category/dianabol/"
dianabol purchase,260,9,Informational,dianabol,/shop?q=dianabol,/product/dianabol25-proper-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P75, us unranked); /product-category/dianabol/"
ett 500,260,0,Informational,testosterone,/shop?q=testosterone,/category/injectable,Medium,gap-uk-20260913,mapped,Likely Test E / EQ-Test style mix — shop hub
sarmsstore.co.uk download app,260,1,"Informational, Navigational",skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
tri test,260,18,Informational,testosterone,/product/tri-test-400-spharmaqo-labs,/brand/pharmaqo-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P16, us unranked); /shop/tri-test-400-spharmaqo-labs/"
boldenone for sale,210,8,Informational,deca-boldenone,/shop?q=boldenone,/product/boldenone-proper-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P87, us unranked); /product-category/boldenone/"
buy anavar 10,210,15,Transactional,anavar,/product/anavar10-proper-labs,/shop?q=anavar,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P41, us unranked); /shop/anavar-10-pharmaqo-labs/"
buy anavar 50,210,20,Transactional,anavar,/product/anavar50-proper-labs,/shop?q=anavar,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P68, us unranked); /shop/anavar-50-pharmaqo-labs/"
clenbuterol 40 mcg 100 tablets price,210,28,Transactional,clen-fat-loss,/product/clenbuterol-spiropent-40mcg-100tabs-syncom-labs,/category/fat-loss,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P24, us unranked); /product-category/clenbuterol/"
dianabol for sale usa,210,3,Informational,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
anavar to buy,170,26,Informational,anavar,/shop?q=anavar,/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P96, us unranked); /product-category/anavar/"
buy anadrol,170,10,"Informational, Transactional",anavar,/product/anadrol50-proper-labs,/shop?q=anadrol|/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P56, us unranked); /shop/anadrol50-proper-labs/"
buy dianabol online,170,2,Informational,dianabol,/product/dianabol25-proper-labs,/shop?q=dianabol|/,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P45, us unranked); /product-category/dianabol/"
buy dianabol online usa,170,10,Informational,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
deca steroid price,170,11,Transactional,deca-boldenone,/product/deca-300-nandrolone-decanoate-syncom-labs,/shop?q=deca,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P70, us unranked); /product-category/deca/"
dihydroboldenone cypionate,170,10,Informational,testosterone,/product/dhb-100-dihydroboldenone-syncom-labs,/product/dhb-1-testosterone-cypionate-test-cyp-dhb-pharmaqo-labs|/shop?q=dhb,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P74, us unranked); /shop/dhb-1-testosterone-cypionate-test-cyp-dhb-pharmaqo-labs/"
mail.hellosign.com legit,170,29,Informational,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
nolvadex bodybuilding,170,24,Informational,pct,/category/pct,/what-is-pct|/shop?q=nolvadex,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P40, us unranked); /product-category/nolvadex/"
npp test cycle,170,24,Informational,deca-boldenone,/blog,/product/npp-100-nandrolone-phenylpropionate-syncom-labs|/cycle-builder|/shop?q=testosterone,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P30, us unranked); /blog/what-is-npp-steroid-profile-side-effects-and-usage-guide/"
anavar kopen,140,18,Commercial,skip,—,—,Skip,gap-uk-20260913,skip,Out of scope / competitor / non-UK / junk gap term
anavar steroid for sale,140,5,Transactional,anavar,/shop?q=anavar,/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P73, us unranked); /product-category/anavar/"
before and after dianabol,140,21,Informational,dianabol,/blog,/shop?q=dianabol,Low,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P63, us unranked); /blog/how-soon-do-you-see-results-from-dbol/"
buy clenbuterol online,140,15,Transactional,clen-fat-loss,/category/fat-loss,/product/clenbuterol-proper-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P52, us unranked); /product-category/clenbuterol/"
buy oxandrolone online,140,10,Informational,anavar,/shop?q=anavar,/product/anavar10-proper-labs|/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P90, us unranked); /product-category/anavar/"
buy primobolan,140,22,Informational,primo,/product/primobolan-proper-labs,/shop?q=primobolan,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P83, us unranked); /product-category/primobol/"
clenbuterol buy,140,21,Transactional,clen-fat-loss,/category/fat-loss,/product/clenbuterol-pharmaqo-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P32, us unranked); /product-category/clenbuterol/"
equipoise online,140,10,"Commercial, Informational",deca-boldenone,/shop?q=boldenone,/product/boldenone-proper-labs,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P65, us unranked); /product-category/boldenone/"
legal to buy hcg online,140,19,Informational,pct,/faq,/product/hcg-pharmaqolabs|/category/pct,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P63, us unranked); /product-category/hcg/"
mastereon,140,23,Informational,masteron,/product/masteron-propionate-proper-labs,/shop?q=masteron,Medium,gap-uk-20260913,mapped,Typo of Masteron
npp and test cycle,140,16,Informational,deca-boldenone,/blog,/product/npp-100-nandrolone-phenylpropionate-syncom-labs|/cycle-builder,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P31, us unranked); /blog/what-is-npp-steroid-profile-side-effects-and-usage-guide/"
npp cycle,140,29,Informational,deca-boldenone,/product/npp-100-nandrolone-phenylpropionate-syncom-labs,/cycle-builder|/blog,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P55, us unranked); /blog/what-is-npp-steroid-profile-side-effects-and-usage-guide/"
test npp cycle,140,1,Informational,deca-boldenone,/cycle-builder,/shop?q=npp|/shop?q=testosterone|/blog,Medium,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P23, us unranked); /blog/what-is-npp-steroid-profile-side-effects-and-usage-guide/"
turinabol for sale,140,6,Transactional,dianabol,/product/turinabol-proper-labs,/shop?q=turinabol|/category/oral,High,gap-uk-20260913,mapped,"Keyword gap vs competitor (them P39, us unranked); /product-category/turinabol/"
